site,cvi,category,total_vulnerable,total_styles
jspaint.app,0.0,Fully Accessible,0,1
10minutemail.com,0.0,Fully Accessible,0,11
mp3cut.net,0.03,Minor Risk,1,33
is.gd,0.0,Fully Accessible,0,6
imgur.com,0.0,Fully Accessible,0,29
online-stopwatch.com,0.024,Minor Risk,1,42
pixlr.com,0.042,Minor Risk,1,24
hemingwayapp.com,0.063,Moderate Risk,4,63
cryptii.com,0.0,Fully Accessible,0,24
remove.bg,0.075,Moderate Risk,7,93
wheeldecide.com,0.0,Fully Accessible,0,22
typeracer.com,0.033,Minor Risk,2,60
quickdraw.withgoogle.com,0.087,Moderate Risk,2,23
radio.garden,0.1,Moderate Risk,1,10
lifeat.io,0.271,High Risk,13,48
monkeytype.com,0.0,Fully Accessible,0,24
draw.io,0.0,Fully Accessible,0,7
autodraw.com,0.15,Moderate Risk,3,20
desmos.com,0.062,Moderate Risk,2,32
wolframalpha.com,0.038,Minor Risk,2,52
excalidraw.com,0.0,Fully Accessible,0,32
tldraw.com,0.103,Moderate Risk,3,29
cloudconvert.com,0.0,Fully Accessible,0,24
photopea.com,0.0,Fully Accessible,0,12
online-convert.com,0.188,High Risk,13,69
ideone.com,0.071,Moderate Risk,3,42
virustotal.com,0.0,Fully Accessible,0,42
